"song_index","Title","release_date","text"
306,"Lightning Frightening",1990-05-09,"I'll give you back my farm and I'll give you back my house I'll give you back my right to be free I've got moon, I've got sun Lightning, lightning, lightning I've got me, I've got you Frightening, frightening, frightening I'll give you back my farm and I'll give you back my house I'll give you back my right to be free I'll give you back my farm and I'll give you back my house I'll give you back my right to be free I've got moon, I've got sun Lightning, lightning, lightning I've got me, I've got you Frightening, frightening, frightening"
308,"Little Bombardier",1967-06-01,"War made him a soldier Little Frankie Mair Peace left him a loser The little bombardier Lines of worry appeared with age Unskilled hands that knew no trade Spent his time in the picture house The little bombardier Frankie drank his money The little that he made Told his woes to no man Friendless, lonely days Then one day, in the ABC Four bright eyes gazed longingly At the ice-cream in the hand of the little bombardier Sunshine entered our Frankie's days Gone his worries, his hopeless maze His life was fun and his heart was full of joy Two young children had changed his aims He gave them toffees and played their games He bought them presents with every coin he made Then two gentlemen called on him Asked him for his name Why was he friends with the children Were they just a game? Leave them alone or we'll get sore We've had blokes like you in the station before The hand of authority said ""no more"" to The little bombardier Packed his bags, his heart in pain Wiped a tear and caught a train Not to be seen in the town again The little bombardier"
312,"Little Wonder",1997-01-27,"Stinky weather fat Shaky hand Dopey morning Doc Grumpy gnomes Little wonder then Little wonder You little wonder Little wonder you Big screen dolls Tits and explosions Sleepy time Bashful but nude Little wonder then Little wonder You little wonder Little wonder you ""I'll get that"" Enter galactic See me to be you It's all in the tablets Sneezy Bhutan Little wonder then Little wonder You little wonder Little wonder you Mars happy nation Sit on my karma Dame meditation Take me away Little wonder then Little wonder You little wonder Little wonder you CHORUS Sending me so far away, so far away So far away, so far away So far away, so so far away So far away, so far away So far away, so so far away Little wonder You little wonder, you Little wonder You little wonder you ""If it good to ya, it gotta be good for ya"" CHORUS You little wonder, little wonder you Little wonder then, little wonder You little wonder, little wonder you"
318,"Looking For Satellites",1997-01-27,"REFRAIN Nowhere Shampoo TV Come back Boys' Own Slim tie Showdown Can't stop Where do we go from here? There's something in the sky Shining in the light Spinning and far away REFRAIN CHORUS Satellite Satellite Satellite Satellite Looking for satellites Looking for satellites Where do we go to now? There's nothing in our eyes As lonely as a moon Misty and far away REFRAIN CHORUS Satellite Satellite Satellite Satellite Looking satellites Looking satellites Where do we go from here?"
322,"Love You Till Tuesday",1967-07-14,"Just look through your window, look who sits outside Little me is waiting, standing through the night When you walk out through your door I'll wave my flag and shout Ohh, beautiful baby My burning desire started on Sunday Give me your heart and I'll love you till Tuesday Da da da dum Who's that hiding in the apple tree, clinging to a branch Don't be afraid it's only me, hoping for a little romance If you lie beneath my shade, I'll keep you nice and cool Ohh, beautiful baby I was very lonely till I met you on Sunday My passion's never-ending and I'll love you till Tuesday Da da da dum Let the wind blow through your hair, be nice to the big blue sea Don't be afraid of the man in the moon, because it's only me I shall always watch you until my love runs dry Ohh, beautiful baby My heart's aflame, I'll love you till Tuesday My head's in a whirl and I'll love you till Tuesday Love, love, love, love you till Tuesday Love, love, love, love you till Tuesday Da da da dum Well, I might stretch it till Wednesday"
325,"Lucy Can't Dance",1993-04-05,"Lucy I know what you're going to going to do Oh Lucy look what you're doing I'm doing it too Now you're looking for God in exciting new ways I say trust him at once which is something these days Lucy can't dance to the noise but she knows what the noise can do Lucy can't dance to the noise but she knows what the noise can do Did the world just explode? Don't recognise anyone But you've still got me under your thumb Lucy can't dance to the noise but she knows what the noise can do There's tooling your frenzy in the Tole Savoy And the sexual noise which is caught up a toy You live and you die in the blink of an eye Well I can't make you dance Dance to the noise Lucy can't dance but she knows what the noise can do Dance to the noise Lucy can't dance but she knows what the noise can do Lucy I know what you're going to going to do But you can't buy me off in the sterile world Who who who died and made you material girl? Lucy can't dance to the noise but she knows what the noise can do So I'll spin while my lunatic lyric goes wrong Guess I'll put all my eggs in a post modern song Lucy can't dance to the noise but she knows what the noise can do Oh this fellow are mocked by reality Just a few simple words like I love you, I need you Live and you die in the blink of an eye Still I can't make you dance Dance to the noise Lucy can't dance but she knows what the noise can do"
330,"Maid Of Bond Street",1967-06-01,"This girl is made of lipstick Powder and paint Sees the pictures of herself Every magazine on every shelf This girl is maid of Bond Street Hailing cabs, lunches with executives Gleaming teeth sip aperitifs This girl is a lonely girl Takes the train from Paddington to Oxford Circus Buys the Daily News But passengers don't smile at her, don't smile at her This girl is made of loneliness A broken heart For the boy that she once knew Doesn't want to know her anymore And this girl is a lonely girl Every thing she wants is hers But she can't make it with the boy she really wants to be with All the time, to love, all the time This boy is made of envy Jealousy He doesn't have a limousine Really wants to be a star himself This girl, her world is made of flashlights and films Her cares are scraps on the cutting room floor And maids of Bond Street drive round in chauffeured cars Maids of Bond Street picture clothes, eyes of stars Maids of Bond Street shouldn't have worldly cares Maids of Bond Street shouldn't have love affairs"
336,"Memory of a Free Festival",1969-11-14,"The children of the Summer's end Gathered in the dampened grass We played our songs and felt the London sky Resting on our hands It was God's land It was ragged and naive It was Heaven Touch, we touched the very soul Of holding each and every life We claimed the very source of joy ran through It didn't, but it seemed that way I kissed a lot of people that day Oh, to capture just one drop of all the ecstasy that swept that afternoon To paint that love upon a white balloon And fly it from the toppest top of all the tops That man has pushed beyon his brain Satori must be something just the same We scanned the skies with rainbow eyes and saw machines of every shape and size We talked with tall Venusians passing through And Peter tried to climb aboard but the Captain shook his head And away they soared Climbing through the ivory vibrant cloud Someone passed some bliss among the crowd And we walked back to the road, unchained ""The Sun machine is coming down, and we're gonna have a party, ah-ah-ah The Sun machine is coming down, and we're gonna have a party, ah-ah-ah The Sun machine is coming down, and we're gonna have a party, ah-ah-ah The Sun machine is coming down, and we're gonna have a party, ah-ah-ah The Sun machine is coming down, Ooo-ah-ah The Sun machine is coming down, and we're gonna have a party, ooo-ah-ah The Sun machine is coming down, and we're gonna have a party, ah-ah-ah The Sun machine is coming down, and we're gonna have a party, ah-ah-ah The Sun machine is coming down, and we're gonna have a party"""
337,"Miracle Goodnight",1993-10-11,"Burning up each others love, burning up our lives Tried all kinds of working out, miracle goodnight Future full and empty knocking on my door Ragged limbed and hungry mama Miracle no more turn it around make it alright Morning star you're beautiful, yellow dime on high Spin you round my little room, miracle goodnight Evening flower all alone, puzzling capiche Haven't got a death wish, just want a little more CHORUS turn it around make it alright miracle goodnight turn it around make it alright it was only make believe I wish I was a sailor a thousand miles from here I wished I had a future, anywhere I love you in the morning sun, I love you in my dreams I love the sound of making love, the feeling of your skin The corner of your eyes, I long forever more I never want to say goodnight, miracle goodnight CHORUS Don't want to know the past, I want to know the real deal I really don't want to know that The less we know, the better we feel Morning star you're beautiful, yellow diamond high Spinning around my little room, miracle CHORUS turn it around make it alright it was only make believe turn it around make it alright CHORUS"
341,"Modern Love",1983-09-12,"I know when to go out I know when to stay in And get things done I catch the paper boy But things don't really change I'm standing in the wind But I never wave bye-bye But I try, I try There's no sign of life It's just the power to charm I'm lying in the rain But I never wave bye-bye But I try, I try Never gonna fall for CHORUS Modern love - walks beside me Modern love - walks on by Modern love - gets me to the church on time Church on time - terrifies me Church on time - makes me party Church on time - puts my trust in God and Man God and Man - no confession God and Man - no religion God and Man - don't believe in modern love It's not really work It's just the power to charm Still standing in the wind But I never wave bye bye But I try, I try Never gonna fall for CHORUS Modern love - walks beside me Modern love - walks on by Modern love - gets me to the church on time Church on time - terrifies me Church on time - makes me party Church on time - puts my trust in God and Man God and Man - no confession God and Man - no religion God and Man - I don't believe in modern love Modern love - walks beside me Modern love - walks on by Modern love - gets me to the church on time Church on time - terrifies me Church on time - makes me party Church on time - puts my trust in God and Man God and Man - no confession God and Man - no religion God and Man - I don't believe in modern love Modern love - Modern love Modern love - Modern love, walks beside me Modern love - Modern love, walks on by"
343,"Moonage Daydream",1972-06-16,"I'm an alligator, I'm a mama-papa coming for you I'm the space invader, I'll be a rock 'n' rollin' bitch for you Keep your mouth shut, you're squawking like a pink monkey bird And I'm busting up my brains for the words Keep your 'lectric eye on me babe Put your ray gun to my head Press your space face close to mine, love Freak out in a moonage daydream oh yeah Don't fake it baby, lay the real thing on me The church of man love, is such a holy place to be Make me baby, make me know you really care Make me jump into the air Keep your 'lectric eye on me babe Put your ray gun to my head Press your space face close to mine, love Freak out in a moonage daydream oh yeah   Keep your 'lectric eye on me babe Put your ray gun to my head Press your space face close to mine, love Freak out in a moonage daydream ohhh Keep your 'lectric eye on me babe Put your ray gun to my head Press your space face close to mine, love Freak out in a moonage daydream oh yeah Freak out, far out, in out"
344,"Moonage Daydream - (The Arnold Corns version)",1971-02-25,"[Spoken: ""Whenever you're ready.""] Come on strong girl And lay a heavy trip on me The church of man love Is such a holy place to be Make me baby Make me know you really care Make me jump into the air Keep your 'lectric eye on me babe Put your ray gun to my head Press your space face close to mine love Freak out in a moonage daydream, oh yeah! Oh, right on! Come on you mothers! Far out! Keep your mouth shut And listen to the word inside Keep your head on And open up your eyes real wide Keep the chain strong Let me fix it for you inside There isn't any room to hide CHORUS Ow! Taking off, taking off Ahhhh! Ahhhh! Pretty"
352,"Nathan Adler - Segue 1",1995-09-25,"Old Touchshriek was the main nameserver Suspected of being a shoulder surfer But he didn't know from shit About challenge response systems Now Ramona A. Stone we know was selling interest drugs She got males all hung up on her mind filters She was, if you don't mine me saying so, an update demon Now Leon He couldn't wait for 12 o'clock midnight He jumps up on the stage With a criss criss machete And slashes around cutting a zero on everything I mean a zero in the fabric of time itself Was this a suspect? I says to myself ""Woa! Quelle courage!"" Oh wait, I'm getting ahead of myself Let me take you back to when it all began"
353,"Nathan Adler - Segue 2",1995-09-25,"Ramona is so cold When she broke it off with Leon She said ""The ring is enough, I don't wanna see this face again"" Ramona was so cold Ramona was so cold"
357,"Neighborhood Threat",1984-09-24,"Down where your paint is cracking Look down your backstairs buddy Somebody's living there and He don't really feel the weather And he don't share your pleasures No he don't share your pleasures Look at his eyes Did you see his crazy eyes You're so surprised he don't run to catch your ash Everybody always wants to kiss your trash You can't help him Nobody can Now that he knows There's nothing to get Will you still place your bet On the neighborhood threat Somewhere a baby's bleeding Somewhere a mother's needing Outside a boy is lying But mostly he is crying And he just shouts in anger You'll find him interesting Look at his eyes Did you see his crazy eyes You're so surprised he doesn't build for you Everybody always wants to run with you"
359,"Never Let Me Down",1987-04-20,"When I believed in nothing I called her name Trapped in a high-dollar joint in some place I called her name And though my days were slipping by And nights so cruel I thought I'd die She danced her little dance 'till it made me cry She was shakin' like this honey doing that When I needed soul revival I called your name When I was falling to pieces I screamed in pain Her soothing hand that turns me round A love so real swept over me You danced your little dance 'till it made me cry You were shakin' like this honey doing that Never let me down She never let me down Never let me down She never let me down When all your faith is failing Call my name When you've nothing coming Call my name I'll be strong for all it takes I'll cover your head till the bad stuff breaks Dance my little dance till it makes you smile Shaking like this honey doing that Never let you down I'll never let you down I'll never let you down I'll never let you down Oh no"
360,"New Angels Of Promise",1999-10-04,"VERSE 1 New angels of promise We despair We are the dead dreams We take the blame Take us to the edge of time Take us to the edge of time We are the fabulous lovers I am a blind man She is my eyes CHORUS Suspicious minds You didn't feel us coming in this lonely crowd It's always time VERSE 2 New angels of promise We despise Don't fall apart now We are the silent ones Take us to the edge of time Take us to the edge of time We are the tabular lovers We listen to the storm CHORUS VERSE 1 CHORUS It's always time"
362,"New York's In Love",1987-04-20,"Yes Do you see that thing? I'm sure it's love Would you do one thing? New York's in love The city grew wings in the back of night The clouds are stuck like candy-floss She sees the rich trash having all the fun Makes her wonder where they get their energy from There's nothing you can do to her The city's all clean and waiting I don't mean to wait too long But this joint can't get much higher CHORUS New York's in love With her big green eyes And her long blonde hair New York's in flames New York's in love With the way she talks, t-t-talk, t-t-talks And the way she walks New York's in love Goo goo goo goo goo goo My, oh my, it's a tom-tom beat No-one knows they've had their day We can dance and we can see the singles swing Everybody's waiting for the go-go boys You've turned to stone by the family It's how the dead speak to the living Nothing left here but a raging blaze And I don't mean to wait too long CHORUS New York's in love With her big green eyes And her long blonde hair New York's in flames New York's in love With the way she talks And the way she walks, walk that walk New York's in love Goo goo goo goo goo goo Pretty as a picture New York, New York Rent me a missile New York's in love, New York's in love New York's in flames New York's in love New York, New York"
364,"Nite Flights",1993-04-05,"There's no hold The moving has come through The danger passing you Turns its face into the heat and runs the tunnels It's so cold The dark dug up by dogs The stitches torn and broke The raw meat fist you choke Has hit the bloodlite Glass traps open and close on nite flights Broken necks feather weights press the walls Be my love, we will be Gods on nite flights With only one promise, only one way to fall Glass traps open and close on nite flights Broken necks feather weight press the walls Be my love, we will be Gods on nite flights With only one promise, only one way to fall On nite flights On nite flights On nite flights Only one way to fall On nite flights On nite flights On nite flights Only one way to fall"
366,"No Control",1995-09-25,"Stay away from the future Back away from the light It's all deranged No control Sit tight in your corner Don't tell God your plans It's all deranged No control If I could control tomorrow's haze The darkened shore would not bother me If I can't control the web we weave My life will be lost in fallen leaves Every single move's uncertain Don't tell God your plans It's all deranged No control I shall live my life on bended knee If I can't control my destiny You've gotta have a scheme You've gotta have a plan In the world of today, for tomorrow's man No control Stay away from the future Don't tell God your plans It's all deranged No control Forbidden worlds, deafen me In memory No control See how far a sinful man Burn his tracks, his bloody robes You've gotta have a scheme You've gotta have a plan In the world of today, for tomorrow's man I shall live my lies on bended knee If I can't control my destiny No control I can't believe I've no control It's all deranged I can't believe I've no control It's all deranged Deranged Deranged"
368,"Nothing To Be Desired",1995-09-11,"Nothing to be desired It leaves nothing to be desired Nothing There's nothing to be desired Nothing to be desired Nothing to be desired any more Mind changing Mind changing Mind changing Change your Mind changing Mind changing Change your mind changing Mind changing Stand by Mind changing Mind changing Stand by Mind changing Mind changing And there's nothing to be desired Nothing to be desired Nothing Certainly not ? Nothing to be desired Nothing Nothing to be desired It's not mind changing Mind changing Change your mind changing Mind changing Change your mind changing Mind changing Change your mind changing Mind changing Change your mind changing Mind change Change your mind change"
372,"Oh! You Pretty Things",1971-12-17,"Wake up you sleepy head Put on some clothes, shake up your bed Put another log on the fire for me I've made some breakfast and coffee Look out my window what do I see? Crack in the sky and a hand reaching down to me All the nightmares came today And it looks as though they're here to stay What are we coming to? No room for me, no fun for you I think about a world to come Where the books were found by the Golden Ones Written in pain, written in awe By a puzzled man who questioned What we were here for All the strangers came today And it looks as though they're here to stay Oh! You pretty things Don't you know you're driving your Mama's and Papa's insane Oh! You pretty things Don't you know you're driving your Mama's and Papa's insane Let me make it plain You gotta make way for the Homo Superior Look out at your children See their faces in golden rays Don't kid yourself they belong to you They're the start of the coming race The Earth is a bitch We've finished our news Homo Sapiens have outgrown their use All the strangers came today And it looks as though they're here to stay Oh! You pretty things Don't you know you're driving your Mama's and Papa's insane Oh! You pretty things Don't you know you're driving your Mama's and Papa's insane Let me make it plain Gotta make way for the Homo Superior"
376,"Opening Titles Including Underground",1986-06-23,"It's only forever Not long at all The lost and lonely No one can blame you For walking away Too much rejection, nah nah No love injection, nah nah Life can be easy It's not always swell Don't tell me truth hurts, little girl 'Cos it hurts like hell But down in the underground You'll find someone true Down in the underground A land serene A crystal moon, ah, ah It's only forever It's not long at all Lost and lonely That's underground Underground"
380,"Pallas Athena",1993-04-05,"God is on top of it all And that's all it is Athena, Athena, Athena, Athena God is on top of it all And that's all it is"
382,"Panic In Detroit",1973-04-13,"Ow! He looked a lot like Che Guevara, drove a diesel van Kept his gun in quiet seclusion, such a humble man The only survivor of The National People's Gang Panic in Detroit, asked for an autograph He wanted to stay home, I wish someone would phone Panic in Detroit He laughed at accidental sirens that broke the evening gloom The police had warned of repercussions They followed none too soon A trickle of strangers were all that were left alive Panic in Detroit, I asked for an autograph He wanted to stay home, I wish someone would phone Panic in Detroit Putting on some clothes I made my way to school And I found my teacher crouching in his overall I screamed and ran to smash my favourite slot machine And jumped the silent cars that slept the traffic lights Having scored a trillion dollars, made a run back home Found him slumped across the table, a gun and me alone I ran to the window, looked for a plane or two Panic in Detroit.  He'd left me an autograph ""Let me collect dust"" I wish someone would phone Panic in Detroit Ow!"
391,"Queen Bitch - (demo)",2022-11-04,"""Fried here"" ""Right"" I'm up on the eleventh floor Watching the cruisers below My heart's in the basement My weekend's at an all-time low He's down on the street And he's trying hard to pull sister Flo And she's hoping to score I just can't see her letting him go Walk out of her sight Right out of her mind Oh she's so swishy in satin and tat In her frock coat and bipperty-bopperty hat God, I could do better than that She's an old-time ambassador A sweet talking, night walking games And she's known in the darkest clubs For pushing ahead of the dames If she says she can do it Then she can do it, she don't make false claims For she's the Queen, and such are Queens That your laughter is sucked in their brains Now she's leading him on And she'll lay him right down Now she's leading him on And she'll lay him right down But it could have been me Yes, it could have been me Why didn't I say? Why didn't I say? She's so swishy in satin and tat In that frock coat and bipperty-bopperty hat God, I could do better than that So I lay down a while And I gaze at my hotel wall The bed feels so cold That it don't feel like no bed at all So he's down on the street And I throw both his bags down the hall There's a taste in my mouth And it's no taste at all And I'm phoning a cab And my stomach feels small But it could have been me Yes, it could have been me But I don't want to say But I don't wanna know, no, no, no Swishy in satin and tat In her frock coat and bipperty-bopperty hat God, I could do better than that"
392,"Queen Bitch",1971-12-17,"Do-pah-tum-ka-kum-bah-ba-ba-da-dah Ahh yeah Oh yeah I'm up on the eleventh floor And I'm watching the cruisers below He's down on the street And he's trying hard to pull sister Flo Oh, my heart's in the basement My weekend's at an all-time low 'Cos she's hoping to score So I can't see her letting him go Walk out of her heart Walk out of her mind Oh loved her She's so swishy in her satin and tat In her frock coat and bipperty-bopperty hat Oh God, I could do better than that Oh yeah She's an old-time ambassador Of sweet talking, night walking games Oh and she's known in the darkest clubs For pushing ahead of the dames If she says she can do it Then she can do it, she don't make false claims But she's a Queen, and such are Queens That your laughter is sucked in their brains Now she's leading him on And she'll lay him right down Yeah she's leading him on And she'll lay him right down But it could have been me Yes, it could have been me Why didn't I say, why didn't I say, no, no, no She's so swishy in her satin and tat In her frock coat and bipperty-bopperty hat Oh God, I could do better than that So I lay down a while And I gaze at my hotel wall Oh the cot is so cold It don't feel like no bed at all Yeah I lay down a while And I look at my hotel wall And he's down on the street So I throw both his bags down the hall And I'm phoning a cab 'Cos my stomach feels small There's a taste in my mouth And it's no taste at all It could have been me Oh yeah, it could have been me Why didn't I say, why didn't I say, no, no, no She's so swishy in her satin and tat In her frock coat and bipperty-bopperty hat Oh God, I could do better than that Ohh, you betcha - oh yeah - uh-hu - mmm"
394,"Quicksand",1971-12-17,"I'm closer to the Golden Dawn Immersed in Crowley's uniform Of imagery I'm living in a silent film Portraying Himmler's sacred realm Of dream reality I'm frightened by the total goal Drawing to the ragged hole And I ain't got the power anymore No I ain't got the power anymore I'm the twisted name on Garbo's eyes Living proof of Churchill's lies I'm destiny I'm torn between the light and dark Where others see their target Divine symmetry Should I kiss the Viper's fang Or herald loud the death of Man? I'm sinking in the quicksand of my thought And I ain't got the power anymore Don't believe in yourself Don't deceive with belief Knowledge comes with death's release Ah ah ah ah, ah ah ah ahhh I'm not a prophet or a stone age man Just a mortal with potential of a superman I'm living on I'm tethered to the logic of Homo Sapien Can't take my eyes from the great salvation of bullshit faith If I don't explain what you ought to know You can tell me all about it on the next bardo I'm sinking in the quicksand of my thought And I ain't got the power anymore Don't believe in yourself Don't deceive with belief Knowledge comes with death's release Ah ah ah ah, ah ah ah ahhh Don't believe in yourself Don't deceive with belief Knowledge comes with death's release Ah ah ah ah, ah ah ah ahhh"
395,"Ramona A. Stone",1995-09-25,"I was Ramona A. Stone I started with no enemies of my own I was an artiste In a tunnel But I've been having a midi-life crisis And I've been dreaming of sleep And ape men with metal parts I've spat upon deeply felt age I've hid my hearts in And I hate the funny coloured English We'll creep together you and I For I know who the small friends are"
397,"Real Cool World",1992-08-10,"So far this love is delightful The face of seduction was you But I listened for each and every footstep In this Real Cool World Questioning saint-like and fantastic heroes Feeling like lost little children in fabled lands So I listen for each and every friendship In this Real Cool World Now there is you In my Real Cool World Starry-eyed life but somehow believing in nothing You whisper sweet nothing but reading between your lines I listen, colour me doubtful In this Real Cool World Now there is you In my Real Cool World Mmm Now there is you In my Real Cool World You came from nowhere You came from nowhere You held me you shook me away It's a Cool World It's a Cool World It's a Real Cool World It's a Real Cool World It's a Real Cool World It's a Real Cool World Now there is you In my Real Cool World Now there is you In my Real Cool World Now there is you In my Real Cool World Real Cool World"
398,"Rebel Rebel",1974-02-15,"Doo doo doo-doo doo doo doo doo You've got your mother in a whirl She's not sure if you're a boy or a girl Hey babe, your hair's alright Hey babe, let's go out tonight You like me, and I like it all We like dancing and we look divine You love bands when they're playing hard You want more and you want it fast They put you down, they say I'm wrong You tacky thing, you put them on CHORUS Rebel Rebel, you've torn your dress Rebel Rebel, your face is a mess Rebel Rebel, how could they know? Hot tramp, I love you so! Don't ya? Doo doo doo-doo doo doo doo doo You've got your mother in a whirl 'cos she's Not sure if you're a boy or a girl Hey babe, your hair's alright Hey babe, let's stay out tonight You like me, and I like it all We like dancing and we look divine You love bands when they're playing hard You want more and you want it fast They put you down, they say I'm wrong You tacky thing, you put them on CHORUS Don't ya? Oh? Doo doo doo-doo doo doo doo doo CHORUS You've torn your dress, your face is a mess You can't get enough, but enough ain't the test You've got your transmission and your live wire You got ya fuel line and a handful of 'ludes You wanna be there when they count up the dudes And I love your dress You're a juvenile success Because your face is a mess So how could they know? I said, how could they know? So what you wanna know Calamity's child, chi-child, chi-child Where'd you wanna go? What can I do for you? Looks like you've been there too 'Cos you've torn your dress And your face is a mess Ooo, your face is a mess Ooo, ooo, so how could they know? Eh, eh, how could they know? Eh, eh"
399,"Red Money",1979-05-18,"Oh, can you feel it in the way That a man is not a man? Can you see it in the sky That the landscape is too high? Like a nervous disease And it's been there all along It will tumble from the sky It's been there all along Project cancelled Tumbling central Red Money CHORUS Can you hear it fall Can you hear it well Can you hear it at all I was really feeling good Reet Petite and how d'ya do Then I got the small red box And I didn't know what to do 'Cos my fingers could not grope And I could not give it away And I knew I must not drop it Stop it, take it away Project cancelled Tumbling central Red Money CHORUS Project cancelled Tumbling central Red Money CHORUS Can you hear it at all Can you hear it at all Red Money Such responsibility It's up to you and me"
400,"Red Sails",1979-05-18,"Feel a bit roughed up, feel a bit frightened Nearly pin it down some time Red sail action wake up in the wrong town Boy, I really get around Thunder ocean Thunder ocean Red sails take me, make me sail along Red sails, and a mast so tall Red sails Red sails Do you remember we another person Green and black and red and so scared Graffiti on the wall kept us all in tune Bringing us all back home Red sails Thunder ocean Red sails Sailor can't dance like you, ooh, yooou Ahh, red sail Red sail action Red sail Some reaction Action boy seen living under neon Struggle with a foreign tongue Red sails make him strong Action make him sail along Life stands still and stares The hinterland, the hinterland We're gonna sail to the hinterland And it's far far, far far far, far far far away Its a far far, far far far, fa da, da da da 1 2 3-4 Ooooooo"
402,"Repetition",1979-05-18,"Johnny is a man And he's bigger than you But his overheads are high And he looks straight through when you ask him how the kids are He'll get home around seven 'Cos the Chevy's real old And he could have had a Cadillac If the school had taught him right And he could have married Anne with the blue silk blouse He could have married Anne with the blue silk blouse And the food is on the table But the food is cold Don't hit her ""Can't you even cook? What's the good of me working when you can't damn cook?"" Well Johnny is a man And he's bigger than her I guess the bruises won't show If she wears long sleeves But the space in her eyes shows through And he could have married Anne with the blue silk blouse He could have married Anne with the blue silk blouse Shows through Shows through Shows through"
410,"Rock 'N' Roll Suicide",1972-06-16,"Time takes a cigarette, puts it in your mouth You pull on your finger, then another finger, then cigarette The water-wall is calling, it lingers, then you forget Ohhh, you're a rock 'n' roll suicide You're too old to lose it, too young to choose it And the clock waits so patiently on your song You walk past a cafe but you don't eat when you've lived too long Oh, no, no, no,  you're a rock 'n' roll suicide Chev brakes are snarling as you stumble across the road But the day breaks instead so you hurry home Don't let the sun blast your shadow Don't let the milk float ride your mind They're so natural - religiously unkind Oh no love! you're not alone You're watching yourself, but you're too unfair You've got your head all tangled up, but if I could only make you care Oh no love! You're not alone No matter what or who you've been No matter when or where you've seen All the knives seem to lacerate your brain I've had my share, I'll help you with the pain You're not alone Just turn on with me and you're not alone Let's turn on and be not alone Gimme your hands 'cos you're wonderful Gimme your hands 'cos you're wonderful Oh gimme your hands"
411,"Rock 'N' Roll With Me",1974-10-24,"You always were the one that knew They sold us for the likes of you I always wanted new surroundings A room to rent while the lizards lay crying in the heat Trying to remember who to meet I would take a foxy kind of stand While tens of thousands found me in demand When you rock 'n' roll with me No one else I'd rather be Nobody here can do it for me I'm in tears again When you rock 'n' roll with me Gentle hearts are counted down The queue is out of sight and out of sounds Me, I'm out of breath, but not quite doubting I've found a door which lets me out! When you rock 'n' roll with me No one else I'd rather be Nobody down here can do it for me I'm in tears again When you rock 'n' roll with me Oooo-oo-oo-oo Oh, when you rock 'n' roll with me There's no one else I'd rather be, oh Nobody down here can do it for me When you rock 'n' roll with me When you rock 'n' roll, rock 'n' roll with me No one else I'd rather, I'd rather be Nobody down here can do it for me I'm in tears, I'm in tears When you rock 'n' roll with me"
413,"Rosalyn",1973-10-19,"Hey Rosalyn, tell me where you've been Hey Rosalyn, tell me where you've been All the night and all the day Hide and seek's the game you play Treating me as sure as sin Oh Rosalyn, yeah Rosalyn VERSE Hey Rosalyn, you're the girl for me Hey Rosalyn, you're the girl for me When I'm holding you so tight It's so hard to say goodnight It's you that I love now can't you see? CHORUS Do you really love me, do you love me true Do you really love me Rosalyn? Yeah gotta know, yeah gotta know Yeah gotta know Rosalyn VERSE CHORUS Yeah gotta know, yeah gotta know Yeah gotta know Rosalyn Rosalyn Yeah Rosalyn, Rosalyn, Rosalyn, Rosalyn, ooh-yeah, ah"
418,"Running Gun Blues",1970-11-04,"I count the corpses on my left, I find I'm not so tidy So I better get away, better make it today I've cut twenty-three down since Friday But I can't control it, my face is drawn My instinct still emotes it I slash them cold, I kill them dead I broke the gooks, I cracked their heads I'll bomb them out from under the beds But now I've got the running gun blues It seems the peacefuls stopped the war Left Generals squashed and stifled But I'll slip out again tonight 'Cause they haven't taken back my rifle For I promote oblivion And I'll plug a few civilians I'll slash them cold, I'll kill them dead I'll break them gooks, I'll crack their heads I'll slice them till they're running red But now I've got the running gun blues"
422,"(Safe In This) Skylife",2002-06-11,"Soaking in the words again Out of our skins again Cold I am, tonight I am Some things never change their mind Snap your fingers, tap your toes The branches cast their shadows But the chance of us in tangles Isn't something really on my mind Safe in this skylife Safe, whoa, whoa, whoa, whoa, whoa, whoa Safe in this skylife Safe, whoa, whoa, whoa, whoa, whoa, whoa In this skylife Asking in a whisper All we needed, all we wished for But here I am and safe I am Trusting in an endless sky Safe in this skylife Safe, whoa, whoa, whoa, whoa, whoa, whoa Safe in this skylife Safe, whoa, whoa, whoa, whoa, whoa, whoa In this skylife Skylife Skylife Skylife Tell me how the journey bides The heartbeat travels on And I'm standing in the sunshine And it lifts my heart and feeds my mind Safe in this skylife Safe, whoa, whoa, whoa, whoa, whoa, whoa Safe in this skylife Safe, whoa, whoa, whoa, whoa, whoa, whoa In this skylife Skylife Skylife Skylife Skylife Skylife Skylife"
424,"Saviour",1970-11-04,"Baby, come inside Take off your coat You're just a big fat mess You're just an American landfill, landfill Can you leave it all behind? Can you get to what you feel? Do you need the jaws of life...? To cut thru' the American landfill, landfill We could rise up from this grave You could be my saviour We could prepare to ascend You could be my saviour We could walk on water You could be my saviour You could be my saviour, saviour Can you just not wear that dress? Can you just not get your hair cut like that? Who picks out your clothes? Sort thru' the American landfill, landfill We could rise up from this grave You could be my saviour We could prepare to ascend You could be my saviour We could walk on water You could be my saviour I would be your saviour, saviour We could rise up from this grave You could be my saviour We could prepare to ascend You could be my saviour We could walk on water You could be my saviour Be my reciprocal saviour Are you having trouble breathing? Did you find it hard to breathe? Did you wake-up to find you're buried, semi-alive? Do you need a hand? Dig the American, dig the American Dig the American, dig the American"
